,매장코드,매장명,매장종류,주소,위도,경도
0,1509,역삼아레나빌딩,general,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069
1,1434,논현역사거리,general,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223
2,1595,신사역성일빌딩,general,서울특별시 강남구 강남대로 584 (논현동),37.5139309,127.0206057
3,1527,국기원사거리,general,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495
4,1468,대치재경빌딩,general,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583
5,1640,봉은사역,general,서울특별시 강남구 봉은사로 619 (삼성동),37.515000,127.063196
6,1650,압구정윤성빌딩,general,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009
7,1626,코엑스별마당,general,서울특별시 강남구 영동대로 513 (삼성동),37.510150,127.060275
8,1438,삼성역섬유센터R,reserve,서울특별시 강남구 테헤란로 518 (대치동),37.507750,127.060651
9,1411,압구정R,reserve,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061
10,1389,수서역R,reserve,서울특별시 강남구 광평로 281 (수서동),37.488008,127.102650
11,1404,양재강남빌딩R,reserve,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685
12,1355,선릉동신빌딩R,reserve,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409
13,1348,봉은사로선정릉,general,서울특별시 강남구 봉은사로 446 (삼성동),37.51131683405367,127.04846338902248
14,1255,강남오거리,general,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672
15,1211,스타필드코엑스몰R,reserve,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455
16,1188,강남구청정문,general,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995
17,1263,도곡공원,general,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309
18,1258,강남R,reserve,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439
19,1099,대치은마사거리,general,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172
20,1154,청담영동대로,general,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449
21,1084,압구정,general,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956
22,1159,신사가로수,general,서울특별시 강남구 가로수길 59 ,37.521933,127.022521
23,1146,청담스타R,reserve,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827
24,1129,강남우성,general,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091
25,991,학동사거리,general,서울특별시 강남구 도산대로 328 (논현동),37.52236449999999,127.03795430000002
26,1062,대치사거리,general,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817
27,1038,포스코사거리,general,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.05742710000004
28,914,을지병원사거리,general,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446
29,863,신사역,general,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428
30,825,도곡역,general,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398
31,815,서울세관사거리,general,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653
32,734,청담사거리,general,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.04686509999999
33,687,한티역,general,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055
34,752,역삼초교사거리,general,서울특별시 강남구 역삼로 123 (역삼동),37.4941059,127.03299730000003
35,744,코엑스몰,general,서울특별시 강남구 영동대로 513 (삼성동) O103호,37.513715,127.059245
36,672,가로수길,general,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.02162499999997
37,632,역삼대로,general,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.501623,127.039375
38,636,역삼포스코,general,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.499721,127.033582
39,630,강남대로,general,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.50314,127.025546
40,667,청담,general,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.05155990000003
41,643,삼성도심공항,general,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.05791339999996
42,607,삼성교,general,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",37.507794,127.06517
43,251,학동역,general,서울특별시 강남구 논현로 704 (논현동),37.51464884,127.0307302
44,200,대치,general,서울특별시 강남구 도곡로 511 (대치동),37.49966175,127.0622171
45,198,신세계푸드마켓도곡,general,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",37.490298,127.054895
46,180,삼성,general,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",37.50689645929321,127.05571872453659
47,170,선릉세화빌딩,general,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,37.50377562,127.051196
48,158,압구정역,general,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",37.52674095,127.0281105
49,283,압구정로,general,서울특별시 강남구 압구정로42길 32 (신사동),37.52680046,127.0347174
50,279,구역삼사거리,general,서울특별시 강남구 논현로 401 (역삼동),37.49592355,127.0388645
51,278,큰길타워,general,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",37.50236693,127.0407
52,275,강남구청역,general,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5165849,127.04124330000002
53,274,대치역,general,서울특별시 강남구 남부순환로 2936 (대치동) 107호,37.493554,127.061874
54,272,포이,general,서울특별시 강남구 논현로 88 (개포동),37.47781106,127.0451411
55,19,아크플레이스,general,서울특별시 강남구 테헤란로 142 (역삼동),37.49971982,127.0349084
56,3,학여울역,general,서울특별시 강남구 영동대로 215 (대치동),37.49803646,127.0684943
57,989,선정릉역,general,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.51075489999999,127.04455970000003
58,58,삼성현대힐,general,서울특별시 강남구 삼성로 605 (삼성동),37.51350444312708,127.05273753314826
59,266,GS타워,general,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.03727759999992
60,259,압구정미소,general,서울특별시 강남구 논현로 841 (신사동),37.523912710310014,127.02807214378778
61,258,선릉역,general,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135
62,484,코엑스사거리,general,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109
63,471,역삼럭키,general,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389
64,394,신압구정,general,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441
65,306,아크로힐스논현,general,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.509013311862645,127.0403523996554
66,497,강남비젼타워,general,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002
67,338,압구정로데오역,general,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
68,316,르네상스사거리,general,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
69,325,포스코,general,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576457783876,127.05804488086114
70,565,선릉로,general,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.50498118534617,127.0468080752464
71,430,논현힐탑,general,서울특별시 강남구 논현로 648 (논현동),37.51159269029387,127.03219311069766
72,433,도산가로수길,general,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006
73,1760,대치한티,general,서울특별시 강남구 선릉로 324 (대치동),37.4984818,127.052066
74,2125,개포동,general,서울특별시 강남구 선릉로 34 (개포동),37.4828551359882,127.0607152444621
75,1873,수서역사거리,general,서울특별시 강남구 광평로 280 (수서동),37.4873267937748,127.103140081887
76,1710,코엑스아셈타워,general,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838
77,1831,센터필드R,reserve,서울특별시 강남구 테헤란로 231 (역삼동),37.50369465391196,127.04172081609172
78,1813,도산사거리,general,서울특별시 강남구 언주로 727 (논현동),37.51966,127.0341
79,1800,강남세곡,general,서울특별시 강남구 헌릉로569길 18 (세곡동),37.467274319644,127.099929726
80,1716,대치삼성,general,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961
81,2057,언주역,general,서울특별시 강남구 봉은사로 222 (역삼동),37.50777565616907,127.0365882862214
82,1975,강남역신분당역사,general,서울특별시 강남구 강남대로 396 (역삼동),37.4970572543978,127.028180714381
83,2000,삼성역,general,서울특별시 강남구 테헤란로 620 (대치동),37.509206962541256,127.06560851480327
84,1752,테헤란로아남타워,general,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487
85,1902,강남논현,general,서울특별시 강남구 강남대로 512 (논현동),37.5078978596254,127.023338614644
86,1846,삼성동,general,서울특별시 강남구 영동대로96길 12 (삼성동),37.510843366121534,127.06363342044263
87,2204,청담역,general,서울특별시 강남구 삼성로 709 (청담동),37.5194407323478,127.049552661542
88,2245,압구정현대아파트,general,서울특별시 강남구 논현로175길 38 (신사동),37.52521971236768,127.0256601858147
